name,description,latitude,longitude,x,y
Alabama,Montgomery,32.377716,-86.300568,-9606935.28493028,3812994.4856552696
Alaska,Juneau,58.301598,-134.420212,-14963589.55216388,8030942.517114146
Arizona,Phoenix,33.448143,-112.096962,-12478576.729312938,3954939.6450191312
Arkansas,Little Rock,34.746613,-92.288986,-10273562.927347552,4129499.956285026
California,Sacramento,38.576668,-121.493629,-13524608.914906895,4661213.0321727
Colorado,Denver,39.739227,-104.984856,-11686860.71092515,4828119.504711243
Connecticut,Hartford<br>,41.764046,-72.682198,-8090945.271095886,5125699.947742172
Delaware,Dover,39.157307,-75.519722,-8406816.99788958,4744229.564632016
Hawaii,Honolulu,21.307442,-157.857376,-17572602.714282323,2428575.7444725856
Florida,Tallahassee,30.438118,-84.281296,-9382150.954117164,3559991.0572992703
Georgia,Atlanta<br>,33.749027,-84.388229,-9394054.681226162,3995152.0623860527
Idaho,Boise,43.617775,-116.199722,-12935293.883359948,5406481.263165395
Illinois,Springfield,39.798363,-89.654961,-9980344.6056108,4836684.058132829
Indiana,Indianapolis,39.768623,-86.162643,-9591581.544162618,4832375.9514321275
Iowa,Des Moines,41.591087,-93.603729,-10419919.448631575,5099921.713577208
Kansas,Topeka,39.048191,-95.677956,-10650821.342061233,4728576.872524498
Kentucky,Frankfort,38.186722,-84.875374,-9448283.41456865,4605837.053552743
Louisiana,Baton Rouge,30.457069,-91.187393,-10150934.155526118,3562438.143191062
Maine,Augusta,44.307167,-69.781693,-7768062.531452543,5513100.686458878
Maryland,Annapolis,38.978764,-76.490936,-8514932.045820879,4718630.154120844
Massachusetts,Boston,42.358162,-71.063698,-7910774.6752469735,5214782.283208886
Michigan,Lansing,42.733635,-84.555328,-9412656.056818228,5271515.861749529
Minnesota,St. Paul,44.955097,-93.102211,-10364090.720247913,5614455.195702741
Mississippi,Jackson,32.303848,-90.182106,-10039026.118585022,3803261.817422703
Missouri,Jefferson City,38.579201,-92.172935,-10260644.189121502,4661573.7209069375
Montana,Helena,46.585709,-112.018417,-12469833.13990858,5874711.479986264
Nebraska,Lincoln,40.808075,-96.699654,-10764556.243165739,4984073.8534846855
Nevada,Carson City,39.163914,-119.766121,-13332303.60400559,4745178.1176055595
New Hampshire,Concord,43.206898,-71.537994,-7963573.06445226,5343517.04271111
New Jersey,Trenton,40.220596,-74.769913,-8323348.641817367,4898050.661708684
New Mexico,Santa Fe,35.68224,-105.939728,-11793156.575737907,4256985.715896683
North Carolina,Raleigh,35.78043,-78.639099,-8754064.457121829,4270450.786930213
North Dakota,Bismarck,46.82085,-100.783318,-11219147.640216561,5912881.100370935
New York,Albany,42.652843,-73.757874,-8210688.975674433,5259279.409751263
Ohio,Columbus,39.961346,-82.999069,-9239414.09739578,4860326.774430186
Oklahoma,Oklahoma City,35.492207,-97.503342,-10854022.382082405,4230972.924774748
Oregon,Salem,44.938461,-123.030403,-13695681.814051237,5611838.6273069205
Pennsylvania,Harrisburg,40.264378,-76.883598,-8558642.979714748,4904435.674801212
Rhode Island,Providence,41.830914,-71.414963,-7949877.316180473,5135684.736129891
South Carolina,Columbia,34.000343,-81.033211,-9020575.785863895,4028848.0827471544
South Dakota,Pierre,44.367031,-100.346405,-11170510.7075356,5522417.877226199
Tennessee,Nashville,36.16581,-86.784241,-9660777.517000735,4323460.623145902
Texas,Austin,30.27467,-97.740349,-10880405.880636845,3538905.196596864
Utah,Salt Lake City,40.777477,-111.888237,-12455341.568597112,4979574.770927983
Vermont,Montpelier,44.262436,-72.580536,-8079628.309022861,5506144.986327715
Virginia,Richmond,37.538857,-77.43364,-8619873.37506966,4514485.038301203
Washington,Olympia,47.035805,-122.905014,-13681723.574420158,5947920.319250657
West Virginia,Charleston,38.336246,-81.612328,-9085042.795413623,4627035.599374314
Wisconsin,Madison,43.074684,-89.384445,-9950230.90223937,5323346.430896804
Wyoming,Cheyenne,41.140259,-104.820236,-11668535.296350762,5033051.89851391
